name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s) [31 Oct 2013 u32 n]
chameneos-redux,Erlang HiPE,1,6000000,734,10.621,7876,0,0% 0% 0% 100%,10.631
chameneos-redux,OCaml,1,60000,1279,1.016,2008,0,0% 0% 1% 100%,1.019
chameneos-redux,OCaml,1,600000,1279,10.116,2012,0,0% 0% 0% 100%,10.125
chameneos-redux,OCaml,1,6000000,1279,100.788,2016,0,0% 0% 0% 100%,100.826
chameneos-redux,Haskell GHC,1,60000,991,0.060,0,0,83% 0% 14% 100%,0.063
chameneos-redux,Haskell GHC,1,600000,991,0.572,1868,0,100% 0% 2% 100%,0.576
chameneos-redux,Haskell GHC,1,6000000,991,5.828,1868,0,1% 15% 10% 100%,5.834
chameneos-redux,Ada 2005 GNAT,5,60000,2906,0.224,252,0,0% 4% 0% 96%,0.237
chameneos-redux,Ada 2005 GNAT,5,600000,2906,2.064,1968,0,1% 0% 2% 99%,2.079
chameneos-redux,Ada 2005 GNAT,5,6000000,2906,20.304,1972,0,0% 1% 0% 100%,20.324
chameneos-redux,Smalltalk VisualWorks,2,60000,2515,0.548,21952,0,2% 3% 2% 96%,0.581
chameneos-redux,Smalltalk VisualWorks,2,600000,2515,4.748,21952,0,0% 0% 1% 100%,4.752
chameneos-redux,Smalltalk VisualWorks,2,6000000,2515,46.891,21952,0,0% 0% 0% 100%,46.908
chameneos-redux,Go,5,60000,957,0.060,0,0,0% 0% 0% 100%,0.065
chameneos-redux,Go,5,600000,957,0.532,1004,0,2% 0% 2% 100%,0.536
chameneos-redux,Go,5,6000000,957,5.296,1004,0,1% 0% 0% 100%,5.3
chameneos-redux,C# Mono,1,60000,1400,0.256,284,0,0% 0% 7% 100%,0.258
chameneos-redux,C# Mono,1,600000,1400,1.624,20356,0,1% 1% 1% 100%,1.63
chameneos-redux,C# Mono,1,6000000,1400,14.960,20392,0,0% 0% 1% 100%,14.969
chameneos-redux,Racket,1,60000,791,3.612,49908,0,0% 0% 1% 100%,3.619
chameneos-redux,Racket,1,600000,791,33.664,97640,0,0% 1% 0% 100%,33.689
chameneos-redux,Racket,1,6000000,791,335.964,57740,0,0% 0% 0% 100%,336.158
chameneos-redux,Ruby 2.0,1,60000,920,0.444,4748,0,2% 0% 4% 100%,0.446
chameneos-redux,Ruby 2.0,1,600000,920,4.132,5004,0,0% 0% 0% 100%,4.137
chameneos-redux,Ruby 2.0,1,6000000,920,39.992,5004,0,0% 0% 0% 100%,40.007
chameneos-redux,C gcc,5,60000,2863,0.100,0,0,0% 0% 0% 100%,0.105
chameneos-redux,C gcc,5,600000,2863,0.964,592,0,0% 0% 2% 100%,0.969
chameneos-redux,C gcc,5,6000000,2863,9.520,592,0,0% 0% 1% 100%,9.528
chameneos-redux,C++ g++,5,60000,1994,0.100,0,0,0% 0% 10% 100%,0.104
chameneos-redux,C++ g++,5,600000,1994,0.956,924,0,0% 1% 1% 100%,0.959
chameneos-redux,C++ g++,5,6000000,1994,9.388,924,0,1% 1% 1% 100%,9.395
chameneos-redux,Ruby JRuby,1,60000,928,8.520,106472,0,1% 0% 0% 100%,8.55
chameneos-redux,Ruby JRuby,1,600000,928,12.160,279824,0,0% 0% 1% 100%,12.191
chameneos-redux,Ruby JRuby,1,6000000,928,40.056,460284,0,0% 1% 0% 100%,40.101
chameneos-redux,Scala,2,60000,1171,0.520,17324,0,0% 2% 4% 100%,0.525
chameneos-redux,Scala,2,600000,1171,1.684,36304,0,0% 0% 1% 100%,1.689
chameneos-redux,Scala,2,6000000,1171,12.900,148312,0,0% 0% 0% 100%,12.908
fannkuch-redux,Ada 2005 GNAT,3,10,2100,0.240,292,0,0% 0% 8% 92%,0.253
fannkuch-redux,Ada 2005 GNAT,3,11,2100,2.936,1640,0,0% 1% 1% 100%,2.949
fannkuch-redux,Ada 2005 GNAT,3,12,2100,39.280,1652,0,0% 0% 1% 100%,39.306
fannkuch-redux,JavaScript V8,3,10,539,0.452,5712,0,0% 0% 2% 100%,0.468
fannkuch-redux,JavaScript V8,3,11,539,5.564,5712,0,1% 0% 0% 100%,5.577
fannkuch-redux,JavaScript V8,3,12,539,77.916,5712,0,0% 0% 0% 100%,77.941
fannkuch-redux,Python 3,6,10,385,17.665,4568,0,0% 0% 0% 100%,88.345
fannkuch-redux,Python 3,6,11,385,203.977,4560,0,0% 0% 0% 100%,1020.138
fannkuch-redux,Python 3,6,12,385,2903.201,4564,0,0% 0% 0% 100%,3204.313
fannkuch-redux,Java 7,1,10,1282,0.540,14128,0,0% 0% 2% 100%,0.543
fannkuch-redux,Java 7,1,11,1282,5.304,14128,0,0% 0% 1% 100%,5.309
fannkuch-redux,Java 7,1,12,1282,70.572,14464,0,0% 0% 0% 100%,70.602
fannkuch-redux,Smalltalk VisualWorks,1,10,838,3.588,21952,0,0% 0% 1% 99%,3.614
fannkuch-redux,Smalltalk VisualWorks,1,11,838,44.219,21956,0,0% 0% 0% 100%,44.233
fannkuch-redux,Smalltalk VisualWorks,1,12,838,601.466,21952,0,0% 0% 0% 100%,601.611
fannkuch-redux,Fortran Intel,1,10,590,0.408,260,0,2% 0% 2% 100%,0.411
fannkuch-redux,Fortran Intel,1,11,590,5.096,260,0,1% 0% 0% 100%,5.1
fannkuch-redux,Fortran Intel,1,12,590,68.304,260,0,0% 0% 0% 100%,68.32
fannkuch-redux,Lua,1,10,462,11.429,816,0,0% 1% 0% 100%,11.435
fannkuch-redux,Lua,1,11,462,149.677,816,0,0% 0% 0% 100%,149.711
fannkuch-redux,Lua,1,12,462,2131.105,820,0,0% 0% 0% 100%,2131.546
